"Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"LAD","95","67","3.41","688","162","1","1","44","77","26","1473.1","6182","1265","611","559","127","584","68","57","76","2","1272"
"SFG","88","74","3.55","619","162","11","3","41","70","17","1446.0","6103","1268","611","571","140","584","49","41","71","3","1302"
"ATL","86","76","3.57","650","162","3","0","38","71","21","1462.2","6208","1399","641","581","119","530","59","49","40","6","1232"
"STL","91","71","3.66","643","162","8","4","43","72","14","1440.2","6087","1407","640","586","123","460","23","53","43","5","1049"
"CHC","83","78","3.84","641","161","3","2","40","75","18","1445.1","6177","1329","672","617","160","586","46","59","60","6","1272"
"SEA","85","77","3.87","572","162","4","2","49","82","28","1452.2","6159","1359","692","625","172","534","13","43","61","5","1043"
"CHW","79","83","4.16","577","162","4","1","36","55","18","1439.2","6155","1438","732","665","169","507","41","41","55","5","1119"
"PHI","93","69","4.16","621","162","8","5","44","81","22","1455.2","6263","1479","709","673","189","489","31","75","28","2","1153"
"CIN","78","84","4.18","640","162","6","4","41","80","12","1458.1","6253","1420","723","677","188","577","36","65","45","1","1069"
"COL","92","70","4.24","646","162","5","2","45","73","16","1438.1","6171","1427","715","677","141","528","51","46","48","5","1154"
"NYY","103","59","4.28","623","162","3","1","51","74","15","1450.0","6247","1386","753","689","181","574","28","71","66","5","1260"
"OAK","75","87","4.29","650","162","2","2","38","68","12","1447.1","6243","1486","761","690","156","523","30","36","43","2","1124"
"FLA","87","75","4.32","692","162","5","1","45","93","24","1446.1","6299","1425","766","694","160","601","60","45","59","5","1248"
"DET","86","77","4.34","602","163","4","1","42","67","24","1447.0","6240","1449","745","698","182","594","42","41","48","6","1102"
"BOS","95","67","4.35","625","162","8","2","41","72","18","1436.2","6283","1494","736","695","167","530","24","68","42","5","1230"
"TBR","84","78","4.36","672","162","3","3","41","79","22","1427.1","6146","1421","754","691","183","515","22","46","46","5","1125"
"SDP","75","87","4.37","689","162","2","1","45","92","23","1450.2","6273","1422","769","705","167","603","58","45","52","8","1187"
"TEX","87","75","4.38","598","162","8","3","45","77","13","1434.2","6172","1432","740","699","171","531","14","70","45","8","1016"
"ARI","70","92","4.44","645","162","4","1","36","46","19","1447.2","6267","1470","782","714","168","525","27","53","79","2","1158"
"LAA","97","65","4.45","596","162","9","6","51","79","19","1445.0","6252","1513","761","715","180","523","35","58","67","2","1062"
"NYM","70","92","4.46","673","162","3","2","39","75","21","1426.0","6284","1452","757","707","158","616","60","55","41","10","1031"
"TOR","75","87","4.47","607","162","10","4","25","50","16","1451.0","6281","1509","771","720","181","551","26","58","43","4","1181"
"MIN","87","76","4.50","643","163","4","1","48","82","16","1453.0","6274","1542","765","726","185","466","20","58","43","3","1052"
"HOU","74","88","4.54","659","162","5","1","39","83","26","1430.0","6237","1521","770","722","176","546","56","50","43","4","1144"
"PIT","62","99","4.59","617","161","5","2","28","62","17","1418.1","6144","1491","768","724","152","563","37","47","52","3","919"
"KCR","65","97","4.83","588","162","10","5","34","50","22","1426.0","6265","1486","842","765","166","600","28","51","89","6","1153"
"MIL","80","82","4.84","674","162","1","0","44","89","22","1435.0","6352","1498","818","772","207","607","60","65","61","1","1104"
"WSN","59","103","5.02","694","162","6","1","33","62","25","1424.1","6349","1533","874","794","173","629","59","48","74","5","911"
"CLE","65","97","5.07","607","162","5","2","25","49","18","1434.0","6354","1570","865","808","183","598","31","45","49","7","986"
"BAL","64","98","5.16","646","162","2","0","31","61","22","1429.0","6359","1633","876","820","218","546","45","51","31","7","933"
